RU;79;1317;TransparentCalls;0.88;154;9;33
US;23;830;E-Voice;0.94;540;85;19
GB;70;661;TransparentCalls;0.70;761;91;13
FR;70;966;TransparentCalls;0.73;383;5;5
BL;47;1084;E-Voice;0.68;428;38;40
AT;17;530;TransparentCalls;0.82;93;57;21
BG;20;1062;E-Voice;0.61;135;11;9
DK;57;1135;JustPhone;0.67;801;56;31
CA;57;1788;JustPhone;0.84;355;62;42
ES;22;196;E-Voice;0.85;203;35;22
CH;83;1821;JustPhone;0.64;749;5;21
TR;29;411;TransparentCalls;0.78;826;18;17
PE;65;1542;JustPhone;0.94;83;45;46
NZ;5;1482;JustPhone;0.92;684;85;55
MC;87;885;E-Voice;0.85;866;33;28
